[INFO]:logger initialized.
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 1
[INFO]:line_length: 0
[INFO]:line_length: 1
[INFO]:line_length: 1
[INFO]:line_length: 1
[INFO]:line_length: 1
[INFO]:line_length: 1
[INFO]:line_length: 1
[INFO]:line_length: 0
[INFO]:line_length: 0
[ERROR]:attempting to move out of bounds!
[INFO]:line_length: 0
[INFO]:line_length: 0
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 5
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 1
[INFO]:line_length: 5
[INFO]:line_length: 1
[INFO]:line_length: 0
[INFO]:line_length: 8
[INFO]:line_length: 5
[INFO]:line_length: 5
[INFO]:line_length: 5
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 1
[INFO]:line_length: 5
[INFO]:line_length: 5
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 2
[INFO]:line_length: 1
[INFO]:line_length: 5
[INFO]:line_length: 1
